serial_no,round_no,period,city,age,gender,occupation_of_respondent,annual_income,no_of_family_members,education_qualification,number_of_earning_members,perception_on_general_economic_condition_u_fffd_compared_to_one_year_ago,outlook_on_general_economic_condition_u_fffd_one_year_ahead,perception_on_household_circumstances_u_fffd_compared_to_one_year_ago,outlook_on_household_circumstances_u_fffd_one_year_ahead,perception_on_household_income_u_fffd_compared_to_one_year_ago,outlook_on_household_income_u_fffd_one_year_ahead,perception_on_household_spending_u_fffd_compared_to_one_year_ago,outlook_on_household_spending_u_fffd_one_year_ahead,perception_on_employment_scenario_u_fffd_compared_to_one_year_ago,outlook_on_employment_scenario_u_fffd_one_year_ahead,perception_on_general_price_levels_u_fffd_compared_to_one_year_ago,outlook_on_general_price_levels_u_fffd_one_year_ahead,perception_on_inflation_u_fffd_compared_to_one_year_ago,outlook_on_inflation_u_fffd_one_year_ahead
5248,22,DEC-14,Bengaluru,22-29,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Somewhat better off,Will be better off,Remained the same,Remain the same,Remained the same,Increase,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
5249,22,DEC-14,Bengaluru,22-29,Male,Employed,Rs. 1 - 3 lakhs,5 and more,Below Graduate,2,Remained the same,Will Improve,Somewhat better off,Will be better off,Remained the same,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
5250,22,DEC-14,Bengaluru,40-59,Male,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Up to primary,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Remained the same,Remain the same,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
5251,22,DEC-14,Bengaluru,22-29,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Graduate & above,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,Same as current year
5252,22,DEC-14,Bengaluru,40-59,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,1,Remained the same,Will Improve,Somewhat worse off,Will be better off,Remained the same,Remain the same,Remained the same,Increase,Improved,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
5253,22,DEC-14,Bengaluru,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Increase,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
5254,22,DEC-14,Bengaluru,22-29,Male,Unemployed,Rs. 1 lakh or less,5 and more,Below Graduate,2,Improved,Will Improve,Somewhat better off,Will be better off,Remained the same,Remain the same,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
5255,22,DEC-14,Bengaluru,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Below Graduate,2,Remained the same,Will Remain the Same,Somewhat better off,Will Remain the Same,Remained the same,Remain the same,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
5256,22,DEC-14,Bengaluru,30-39,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,2,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Increase,Remained the same,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
5257,22,DEC-14,Bengaluru,60 & above,Male,Retired/Pensioner,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Somewhat better off,Will be better off,Remained the same,Remain the same,Remained the same,Increase,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
5258,22,DEC-14,Bengaluru,40-59,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Somewhat worse off,Will Remain the Same,Remained the same,Remain the same,Remained the same,Increase,Remained the same,Will Remain the Same,Remained almost unchanged,Will go up,NA,More than current year
5259,22,DEC-14,Bengaluru,22-29,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Below Graduate,2,Remained the same,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
5260,22,DEC-14,Bengaluru,40-59,Male,Self employed/Business,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Somewhat better off,Will be better off,Remained the same,Remain the same,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
5261,22,DEC-14,Bengaluru,40-59,Male,Self employed/Business,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Somewhat better off,Will be better off,Remained the same,Remain the same,Remained the same,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
5262,22,DEC-14,Bengaluru,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Remained the same,Remain the same,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
5263,22,DEC-14,Bengaluru,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Somewhat better off,Will be better off,Remained the same,Remain the same,Increased,Neither increase nor decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
5264,22,DEC-14,Bengaluru,30-39,Male,Self employed/Business,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Somewhat better off,Will be better off,Remained the same,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
5265,22,DEC-14,Bengaluru,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Somewhat better off,Will be better off,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
5266,22,DEC-14,Bengaluru,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
5267,22,DEC-14,Bengaluru,60 & above,Male,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Up to primary,2,Remained the same,Will Remain the Same,Somewhat better off,Will Remain the Same,Remained the same,Remain the same,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
5268,22,DEC-14,Bengaluru,60 & above,Male,Retired/Pensioner,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
5269,22,DEC-14,Bengaluru,40-59,Male,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Up to primary,2,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will remain almost unchanged,Same as last year,NA
5270,22,DEC-14,Bengaluru,22-29,Female,House wife,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Somewhat better off,Will be better off,Remained the same,Remain the same,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
5271,22,DEC-14,Bengaluru,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Increase,Remained the same,Will improve,Gone up,Will remain almost unchanged,Same as last year,NA
5272,22,DEC-14,Bengaluru,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Somewhat better off,Will be better off,Increased,Increase,Increased,Increase,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
5273,22,DEC-14,Bengaluru,22-29,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will remain almost unchanged,Same as last year,NA
5274,22,DEC-14,Bengaluru,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Somewhat better off,Will be better off,Remained the same,Remain the same,Increased,Increase,Remained the same,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
5275,22,DEC-14,Bengaluru,22-29,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Increase,Remained the same,Increase,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
5276,22,DEC-14,Bengaluru,40-59,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Somewhat better off,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
5277,22,DEC-14,Bengaluru,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Somewhat better off,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
5278,22,DEC-14,Bengaluru,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Increase,Remained the same,Neither increase nor decrease,Improved,Will Remain the Same,Gone up,Will remain almost unchanged,More than last year,NA
5279,22,DEC-14,Bengaluru,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Remained the same,Will Improve,Somewhat better off,Will Remain the Same,Remained the same,Increase,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will remain almost unchanged,Same as last year,NA
5280,22,DEC-14,Bengaluru,60 & above,Male,Employed,Rs. 1 lakh or less,1 or 2,Up to primary,1,Remained the same,Will Worsen,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Increased,Increase,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
5281,22,DEC-14,Bengaluru,40-59,Female,Employed,Rs. 1 lakh or less,3 or 4,Up to primary,2,Remained the same,Will Worsen,Somewhat worse off,Will be worsen,Remained the same,Increase,Increased,Increase,Remained the same,Will worsen,Gone up,Will go up,More than last year,Same as current year
5282,22,DEC-14,Bengaluru,60 & above,Male,Retired/Pensioner,Rs. 1 lakh or less,1 or 2,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will be worsen,Remained the same,Remain the same,Increased,Increase,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
5283,22,DEC-14,Bengaluru,40-59,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,3,Remained the same,Will Improve,Somewhat worse off,Will be worsen,Remained the same,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
5284,22,DEC-14,Bengaluru,30-39,Female,Daily Worker,Rs. 1 lakh or less,3 or 4,Below Graduate,2,Worsen,Will Improve,Difficult to say,Will be better off,Remained the same,Remain the same,Increased,Decrease,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
5285,22,DEC-14,Bengaluru,30-39,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,1,Remained the same,Will Improve,Somewhat worse off,Will be worsen,Increased,Decrease,Increased,Increase,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
5286,22,DEC-14,Bengaluru,40-59,Female,Daily Worker,Rs. 1 lakh or less,5 and more,Up to primary,1,Worsen,Will Worsen,Somewhat worse off,Will be worsen,Remained the same,Increase,Increased,Increase,Worsen,Will Remain the Same,Gone down,Will go down,NA,NA
5287,22,DEC-14,Bengaluru,22-29,Female,House wife,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Improved,Will Improve,Somewhat worse off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Remained almost unchanged,Will go down,NA,NA
5288,22,DEC-14,Bengaluru,30-39,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,2,Remained the same,Will Improve,Somewhat worse off,Will be worsen,Decreased,Increase,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go down,More than last year,NA
5289,22,DEC-14,Bengaluru,22-29,Female,Employed,Rs. 1 - 3 lakhs,5 and more,Below Graduate,2,Worsen,Will Improve,Somewhat worse off,Will Remain the Same,Remained the same,Remain the same,Increased,Decrease,Remained the same,Will improve,Gone up,Will go down,More than last year,NA
5290,22,DEC-14,Bengaluru,22-29,Female,House wife,Rs. 1 lakh or less,1 or 2,Up to primary,1,Remained the same,Will Remain the Same,Somewhat worse off,Will be worsen,Remained the same,Remain the same,Increased,Increase,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
5291,22,DEC-14,Bengaluru,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
5292,22,DEC-14,Bengaluru,30-39,Male,Daily Worker,Rs. 1 lakh or less,1 or 2,Up to primary,1,Worsen,Will Remain the Same,Somewhat better off,Will be better off,Decreased,Increase,Remained the same,Decrease,Worsen,Will improve,Gone up,Will go down,More than last year,NA
5293,22,DEC-14,Bengaluru,60 & above,Male,Employed,Rs. 1 lakh or less,1 or 2,Up to primary,1,Remained the same,Will Remain the Same,Somewhat worse off,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,Same as current year
5294,22,DEC-14,Bengaluru,40-59,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Increase,Remained the same,Neither increase nor decrease,Improved,Will Remain the Same,Gone up,Will remain almost unchanged,Same as last year,NA
5295,22,DEC-14,Bengaluru,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Worsen,Will Improve,Difficult to say,Will Remain the Same,Remained the same,Decrease,Increased,Decrease,Worsen,Will worsen,Gone up,Will go down,Same as last year,NA
5296,22,DEC-14,Bengaluru,22-29,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,1,Worsen,Will Worsen,Somewhat worse off,Will Remain the Same,Remained the same,Remain the same,Increased,Increase,Remained the same,Will Remain the Same,Gone up,Will remain almost unchanged,More than last year,NA
5297,22,DEC-14,Bengaluru,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Increase,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
5298,22,DEC-14,Bengaluru,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Somewhat worse off,Will be better off,Remained the same,Increase,Increased,Decrease,Remained the same,Will worsen,Gone up,Will go up,More than last year,More than current year
